#TRAINERS
30761   476   'bash' 'kick' 'parry' 'punch' 'rescue' 'second attack'
30756   573  
12586   583  
36113   129   'animate dead'
37061   710   'humanic' 'elvish' 'gnomish' 'thennish' 'detect hidden' 'detect magic' 'lesser summoning'
37063   709   'bash' 'kick' 'off-hand parry' 'punch' 'unarmed'
37021   706   'bandage' 'cure blindness' 'cure light' 'cure poison' 'cure serious' 'detect evil'
19056    57   'climb' 'hide' 'searching' 'swimming' 'track' 'barkskin'
  241   678   'riding'
36074   672   'disarm' 'kick' 'parry' 'unarmed' 'dagger' 'sword' 'polearm'
  504   278   'animate dead' 'blind' 'cause serious'
 2551   417   'blink' 'detect invisible' 'displace' 'eagle eye' 'sleep'
19024   415   'bandage' 'armor' 'augury' 'bless' 'create food' 'create water' 'cure critical' 'cure light' 'cure poison' 'cure serious'
  164  1522   'lay hands' 'off-hand attack' 'shield' 'find_mount'
  155   324   'dodge' 'kick' 'punch' 'tiger paw' 'unarmed'
27047   275   'haggle'
27044   238   'create light' 'detect magic' 'magic missile' 'shock' 'slow'
27038   239   'armor' 'bless' 'create food' 'create light' 'create water' 'cure light' 'cure poison' 'remove curse'
  932   195   'climb' 'hide' 'peek' 'pick lock' 'searching' 'sneak'
  927   179   'bandage' 'humanic' 'armor' 'bless' 'create food' 'create light' 'create water' 'cure light' 'cure poison'
  928   178   'bash' 'disarm' 'kick' 'parry' 'punch' 'rescue' 'second attack' 'swimming' 'unarmed'
  136   120   'blinding light' 'detect hidden' 'fireball' 'mystic shield' 'shock'
  918  1003   'dagger' 'sword' 'club' 'staff' 'mace' 'whip' 'spear'
12500   128   'critical hit' 'disarm' 'meditate' 'second attack' 'shadow dance' 'tiger paw' 'unarmed'
  140  1520   'humanic' 'elvish' 'dwarvish' 'cure light' 'cure serious' 'holy wrath' 'remove curse' 'revitalize' 'turn undead'
27045   234   'dodge' 'kick' 'parry' 'punch' 'swimming' 'unarmed'
27039   239   'humanic' 'gnomish' 'dwarvish' 'ogrish' 'trollish'
24048   286   'meditate' 'calm' 'float' 'slow' 'vitality'
13538   193   'blind fighting' 'slisp'
27562   252   'curse' 'fire shield' 'freeze' 'silence' 'summon'
19001   331   'bash' 'kick' 'punch' 'unarmed' 'dagger' 'sword' 'staff'
30351   404   'backstab' 'dodge' 'hide' 'inspect' 'pick lock' 'sneak' 'dagger'
  909  1013   'haggle'
30777   489   'bandage' 'cause light' 'create light' 'cure blindness' 'cure critical' 'cure light' 'cure poison' 'cure serious' 'detect evil' 'detect good' 'sense life'
30820   568   'hide' 'searching' 'sneak' 'swimming' 'track' 'tame'
30757   571  
30754   456   'unarmed' 'sword' 'staff' 'axe'
30822   579   'humanic' 'slisp' 'ogrish' 'trollish' 'augury'
19043   606   'climb' 'parry' 'rescue' 'second attack' 'shield'
19027   334   'appraise' 'peek'
30021   298   'backstab' 'hide' 'inspect' 'peek' 'pick lock' 'sneak'
37060   708   'appraise'
36148   909   'rescue'
39379   916   'burning hands' 'cause light' 'chilling touch' 'cure poison' 'magic missile' 'ogre strength' 'shock' 'web'
30343   425   'armor' 'bless' 'calm' 'cause light' 'create food' 'create water' 'cure light' 'cure serious'
30355   422   'create light' 'detect hidden' 'detect magic' 'faerie fire' 'fireball' 'magic missile' 'mystic shield' 'shock'
36115    95   'burning hands' 'faerie fire' 'fireball'
19383   779   'swimming' 'elvish' 'entish' 'conjure elemental' 'infravision' 'protection plants' 'staff'
  401   355   'campfire' 'Force of Nature' 'scan' 'track' 'elvish' 'entish' 'balm' 'tame' 'thorn shield'
30339   347   'disarm' 'parry' 'punch' 'second attack' 'dagger' 'sword' 'club' 'axe'
46800  1034   'dwarvish' 'continual light' 'group serious'
20075  1081   'critical hit' 'meditate' 'tiger paw' 'unarmed'
20079  1110   'backstab' 'climb' 'hide' 'peek' 'sneak'
20034  1111   'ogrish' 'trollish' 'orcish' 'goblish' 'vyanian'
20074  1112   'armor' 'bless' 'cause light' 'cure blindness' 'cure light' 'cure poison' 'detect good' 'holy wrath'
20010   867   'dagger' 'sword' 'club' 'staff' 'polearm' 'mace' 'whip' 'axe' 'spear'
20084  1114   'riding'
20015  1134   'bash' 'dodge' 'kick' 'parry' 'punch' 'rescue'
20066  1136   'blinding light' 'burning hands' 'chilling touch' 'create light' 'detect magic' 'magic missile' 'ogre strength' 'shock'
20067   869   'create food' 'create light' 'create water'
27552    97   'find familiar' 'fireball' 'haste' 'maelstrom' 'request ally'
44906  1262   'astral gate' 'chain lightning' 'prismic missile' 'replicate'
37140   727   'disarm' 'balm' 'staff'
51501  1347   'invulnerability'
20073  1223   'lesser summoning'
51252  1353   'charge' 'melee' 'power strike'
49760  1339   'banishment' 'greater animation'
30048  1742   'appraise' 'haggle'
30051   828   'bash' 'dodge' 'parry' 'shield' 'swimming'
30016   299   'unarmed' 'dagger' 'sword' 'staff' 'polearm' 'mace' 'whip' 'axe' 'spear'
63501  1719   'scan' 'searching' 'track' 'barkskin' 'tame'
63503  1726   'backstab' 'climb' 'hide' 'sneak' 'dagger'
